dataset_id,model_id,metric_id,budget_per_class,budget_id,point_status,value,attempted_repeats,successful_repeats,non_success_repeats,budget_repeat_id,single_frozen_subset_limitation,integration_revision,integration_source,aggregation_rule,source_run_cell_ids_json,successful_repeat_count,planned_repeat_count,scientific_numeric_result_recomputed,scientific_numeric_result_aggregated_from_existing_metrics,full_train_BACC,branch_id,delta_vs_full_BACC,retained_fraction_of_full,budget_label,rank_within_dataset_budget
Lee2019_MI,RIE-TS-LR,BACC,8,P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS,VALID,0.5349999999999999,1,1,0,P01_FROZEN_SINGLE_SUBSET,True,P02-INTEGRATED-LOW-LABEL-1-TO-256-R1,PREDECESSOR_1_TO_32_EXACT_ROWS_REUSED,,,,,False,False,0.7466666666666667,RIE-TS-LR,-0.21166666666666678,0.716517857142857,8,1.0
Lee2019_MI,RIE-TS-LR,BACC,16,P01-L1-LOW-CAL-OFFICIAL-R2:16_PER_CLASS,VALID,0.5700000000000001,1,1,0,P01_FROZEN_SINGLE_SUBSET,True,P02-INTEGRATED-LOW-LABEL-1-TO-256-R1,PREDECESSOR_1_TO_32_EXACT_ROWS_REUSED,,,,,False,False,0.7466666666666667,RIE-TS-LR,-0.17666666666666664,0.7633928571428572,16,1.0
Lee2019_MI,RIE-TS-LR,BACC,32,P01-L1-LOW-CAL-OFFICIAL-R2:32_PER_CLASS,VALID,0.5283333333333333,1,1,0,P01_FROZEN_SINGLE_SUBSET,True,P02-INTEGRATED-LOW-LABEL-1-TO-256-R1,PREDECESSOR_1_TO_32_EXACT_ROWS_REUSED,,,,,False,False,0.7466666666666667,RIE-TS-LR,-0.21833333333333338,0.7075892857142857,32,1.0
Lee2019_MI,DNN-EEGNET,BACC,1,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,VALID,0.5273333333333333,5,5,0,P01_FROZEN_SINGLE_SUBSET,True,P02-INTEGRATED-LOW-LABEL-1-TO-256-R1,PREDECESSOR_1_TO_32_EXACT_ROWS_REUSED,,,,,False,False,0.7416666666666666,DNN-EEGNET,-0.21433333333333326,0.7110112359550562,1,1.0
Lee2019_MI,DNN-EEGNET,BACC,2,P01-L1-LOW-CAL-OFFICIAL-R2:2_PER_CLASS,VALID,0.4983333333333333,5,5,0,P01_FROZEN_SINGLE_SUBSET,True,P02-INTEGRATED-LOW-LABEL-1-TO-256-R1,PREDECESSOR_1_TO_32_EXACT_ROWS_REUSED,,,,,False,False,0.7416666666666666,DNN-EEGNET,-0.2433333333333333,0.6719101123595506,2,2.0
Lee2019_MI,DNN-EEGNET,BACC,4,P01-L1-LOW-CAL-OFFICIAL-R2:4_PER_CLASS,VALID,0.5243333333333333,5,5,0,P01_FROZEN_SINGLE_SUBSET,True,P02-INTEGRATED-LOW-LABEL-1-TO-256-R1,PREDECESSOR_1_TO_32_EXACT_ROWS_REUSED,,,,,False,False,0.7416666666666666,DNN-EEGNET,-0.21733333333333327,0.7069662921348315,4,1.0
Lee2019_MI,DNN-EEGNET,BACC,8,P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS,VALID,0.5226666666666666,5,5,0,P01_FROZEN_SINGLE_SUBSET,True,P02-INTEGRATED-LOW-LABEL-1-TO-256-R1,PREDECESSOR_1_TO_32_EXACT_ROWS_REUSED,,,,,False,False,0.7416666666666666,DNN-EEGNET,-0.21899999999999997,0.7047191011235955,8,2.0
Lee2019_MI,DNN-EEGNET,BACC,16,P01-L1-LOW-CAL-OFFICIAL-R2:16_PER_CLASS,VALID,0.498,5,5,0,P01_FROZEN_SINGLE_SUBSET,True,P02-INTEGRATED-LOW-LABEL-1-TO-256-R1,PREDECESSOR_1_TO_32_EXACT_ROWS_REUSED,,,,,False,False,0.7416666666666666,DNN-EEGNET,-0.2436666666666666,0.6714606741573035,16,3.0
Lee2019_MI,DNN-EEGNET,BACC,32,P01-L1-LOW-CAL-OFFICIAL-R2:32_PER_CLASS,VALID,0.5226666666666666,5,5,0,P01_FROZEN_SINGLE_SUBSET,True,P02-INTEGRATED-LOW-LABEL-1-TO-256-R1,PREDECESSOR_1_TO_32_EXACT_ROWS_REUSED,,,,,False,False,0.7416666666666666,DNN-EEGNET,-0.21899999999999997,0.7047191011235955,32,2.0
Lee2019_MI,SSL-CBRAMOD,BACC,1,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,VALID,0.5026666666666666,5,5,0,P01_FROZEN_SINGLE_SUBSET,True,P02-INTEGRATED-LOW-LABEL-1-TO-256-R1,PREDECESSOR_1_TO_32_EXACT_ROWS_REUSED,,,,,False,False,0.6679999999999999,SSL-CBRAMOD,-0.16533333333333333,0.7524950099800399,1,2.0
Lee2019_MI,SSL-CBRAMOD,BACC,2,P01-L1-LOW-CAL-OFFICIAL-R2:2_PER_CLASS,VALID,0.484,5,5,0,P01_FROZEN_SINGLE_SUBSET,True,P02-INTEGRATED-LOW-LABEL-1-TO-256-R1,PREDECESSOR_1_TO_32_EXACT_ROWS_REUSED,,,,,False,False,0.6679999999999999,SSL-CBRAMOD,-0.18399999999999994,0.7245508982035929,2,4.0
Lee2019_MI,SSL-CBRAMOD,BACC,4,P01-L1-LOW-CAL-OFFICIAL-R2:4_PER_CLASS,VALID,0.4956666666666667,5,5,0,P01_FROZEN_SINGLE_SUBSET,True,P02-INTEGRATED-LOW-LABEL-1-TO-256-R1,PREDECESSOR_1_TO_32_EXACT_ROWS_REUSED,,,,,False,False,0.6679999999999999,SSL-CBRAMOD,-0.17233333333333323,0.7420159680638724,4,4.0
Lee2019_MI,SSL-CBRAMOD,BACC,8,P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS,VALID,0.5106666666666666,5,5,0,P01_FROZEN_SINGLE_SUBSET,True,P02-INTEGRATED-LOW-LABEL-1-TO-256-R1,PREDECESSOR_1_TO_32_EXACT_ROWS_REUSED,,,,,False,False,0.6679999999999999,SSL-CBRAMOD,-0.15733333333333333,0.7644710578842315,8,3.0
Lee2019_MI,SSL-CBRAMOD,BACC,16,P01-L1-LOW-CAL-OFFICIAL-R2:16_PER_CLASS,VALID,0.488,5,5,0,P01_FROZEN_SINGLE_SUBSET,True,P02-INTEGRATED-LOW-LABEL-1-TO-256-R1,PREDECESSOR_1_TO_32_EXACT_ROWS_REUSED,,,,,False,False,0.6679999999999999,SSL-CBRAMOD,-0.17999999999999994,0.7305389221556887,16,4.0
Lee2019_MI,SSL-CBRAMOD,BACC,32,P01-L1-LOW-CAL-OFFICIAL-R2:32_PER_CLASS,VALID,0.4926666666666667,5,5,0,P01_FROZEN_SINGLE_SUBSET,True,P02-INTEGRATED-LOW-LABEL-1-TO-256-R1,PREDECESSOR_1_TO_32_EXACT_ROWS_REUSED,,,,,False,False,0.6679999999999999,SSL-CBRAMOD,-0.17533333333333323,0.7375249500998006,32,4.0
PhysioNetMI,CLS-CSP-LDA,BACC,1,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,EXPLICIT_NON_SUCCESS,,1,0,1,P01_FROZEN_SINGLE_SUBSET,True,P02-INTEGRATED-LOW-LABEL-1-TO-256-R1,PREDECESSOR_1_TO_32_EXACT_ROWS_REUSED,,,,,False,False,0.5873158462091268,CLS-CSP-LDA,,,1,
PhysioNetMI,CLS-CSP-LDA,BACC,2,P01-L1-LOW-CAL-OFFICIAL-R2:2_PER_CLASS,VALID,0.5458138699245418,1,1,0,P01_FROZEN_SINGLE_SUBSET,True,P02-INTEGRATED-LOW-LABEL-1-TO-256-R1,PREDECESSOR_1_TO_32_EXACT_ROWS_REUSED,,,,,False,False,0.5873158462091268,CLS-CSP-LDA,-0.04150197628458496,0.9293361884368309,2,1.0
PhysioNetMI,CLS-CSP-LDA,BACC,4,P01-L1-LOW-CAL-OFFICIAL-R2:4_PER_CLASS,VALID,0.5018864534674811,1,1,0,P01_FROZEN_SINGLE_SUBSET,True,P02-INTEGRATED-LOW-LABEL-1-TO-256-R1,PREDECESSOR_1_TO_32_EXACT_ROWS_REUSED,,,,,False,False,0.5873158462091268,CLS-CSP-LDA,-0.08542939274164574,0.8545426736004894,4,2.0
PhysioNetMI,CLS-CSP-LDA,BACC,8,P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS,VALID,0.5159899389148401,1,1,0,P01_FROZEN_SINGLE_SUBSET,True,P02-INTEGRATED-LOW-LABEL-1-TO-256-R1,PREDECESSOR_1_TO_32_EXACT_ROWS_REUSED,,,,,False,False,0.5873158462091268,CLS-CSP-LDA,-0.07132590729428667,0.8785561333741206,8,1.0
PhysioNetMI,CLS-CSP-LDA,BACC,16,P01-L1-LOW-CAL-OFFICIAL-R2:16_PER_CLASS,VALID,0.5278476464247215,1,1,0,P01_FROZEN_SINGLE_SUBSET,True,P02-INTEGRATED-LOW-LABEL-1-TO-256-R1,PREDECESSOR_1_TO_32_EXACT_ROWS_REUSED,,,,,False,False,0.5873158462091268,CLS-CSP-LDA,-0.05946819978440532,0.8987457938207403,16,2.0
PhysioNetMI,CLS-CSP-LDA,BACC,32,P01-L1-LOW-CAL-OFFICIAL-R2:32_PER_CLASS,VALID,0.5038627380524614,1,1,0,P01_FROZEN_SINGLE_SUBSET,True,P02-INTEGRATED-LOW-LABEL-1-TO-256-R1,PREDECESSOR_1_TO_32_EXACT_ROWS_REUSED,,,,,False,False,0.5873158462091268,CLS-CSP-LDA,-0.0834531081566654,0.8579076170082595,32,3.0
