file,status,dataset_id,budget_id,budget_short,role_id,model_repeat_index,branch,member,recipe_id,execution_device,epochs_completed,best_epoch,test_loaded_after_checkpoint_sealed,test_set_used_for_selection,class_weight_frozen_from_a0,checkpoint_sha256_present,reason
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS__SSL-CBRAMOD__1__1.json,SUCCESS,,,None,,,SSL-CBRAMOD,1,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:0,97.0,57.0,True,False,True,True,
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS__SSL-CBRAMOD__1__2.json,SUCCESS,,,None,,,SSL-CBRAMOD,2,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:0,48.0,8.0,True,False,True,True,
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS__SSL-CBRAMOD__1__3.json,SUCCESS,,,None,,,SSL-CBRAMOD,3,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:0,45.0,5.0,True,False,True,True,
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS__SSL-CBRAMOD__1__LONG.json,INPUT_INCOMPATIBLE,,,None,,,SSL-CBRAMOD,LONG,,,,,,,,False,CBRAMOD_A4_LONG_INCOMPATIBLE_FAIL_CLOSED_NO_PAD_NO_CROP
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS__SSL-CBRAMOD__2__1.json,SUCCESS,,,None,,,SSL-CBRAMOD,1,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:0,117.0,77.0,True,False,True,True,
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS__SSL-CBRAMOD__2__2.json,SUCCESS,,,None,,,SSL-CBRAMOD,2,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:0,52.0,12.0,True,False,True,True,
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS__SSL-CBRAMOD__2__3.json,SUCCESS,,,None,,,SSL-CBRAMOD,3,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:0,41.0,1.0,True,False,True,True,
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS__SSL-CBRAMOD__2__LONG.json,INPUT_INCOMPATIBLE,,,None,,,SSL-CBRAMOD,LONG,,,,,,,,False,CBRAMOD_A4_LONG_INCOMPATIBLE_FAIL_CLOSED_NO_PAD_NO_CROP
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:256_PER_CLASS__DNN-EEGNET__0__1.json,SUCCESS,,,None,,,DNN-EEGNET,1,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,225.0,105.0,True,False,True,True,
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:256_PER_CLASS__DNN-EEGNET__0__2.json,SUCCESS,,,None,,,DNN-EEGNET,2,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,226.0,106.0,True,False,True,True,
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:256_PER_CLASS__DNN-EEGNET__0__3.json,SUCCESS,,,None,,,DNN-EEGNET,3,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,262.0,142.0,True,False,True,True,
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:256_PER_CLASS__DNN-EEGNET__0__LONG.json,SUCCESS,,,None,,,DNN-EEGNET,LONG,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,245.0,125.0,True,False,True,True,
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:256_PER_CLASS__DNN-EEGNET__1__1.json,SUCCESS,,,None,,,DNN-EEGNET,1,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:1,218.0,98.0,True,False,True,True,
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:256_PER_CLASS__DNN-EEGNET__1__2.json,SUCCESS,,,None,,,DNN-EEGNET,2,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:1,198.0,78.0,True,False,True,True,
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:256_PER_CLASS__DNN-EEGNET__1__3.json,SUCCESS,,,None,,,DNN-EEGNET,3,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:1,219.0,99.0,True,False,True,True,
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:256_PER_CLASS__DNN-EEGNET__1__LONG.json,SUCCESS,,,None,,,DNN-EEGNET,LONG,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:1,194.0,74.0,True,False,True,True,
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:256_PER_CLASS__DNN-EEGNET__2__1.json,SUCCESS,,,None,,,DNN-EEGNET,1,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,260.0,140.0,True,False,True,True,
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:256_PER_CLASS__DNN-EEGNET__2__2.json,SUCCESS,,,None,,,DNN-EEGNET,2,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,373.0,253.0,True,False,True,True,
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:256_PER_CLASS__DNN-EEGNET__2__3.json,SUCCESS,,,None,,,DNN-EEGNET,3,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,211.0,91.0,True,False,True,True,
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:256_PER_CLASS__DNN-EEGNET__2__LONG.json,SUCCESS,,,None,,,DNN-EEGNET,LONG,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,223.0,103.0,True,False,True,True,
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:256_PER_CLASS__SSL-CBRAMOD__0__1.json,SUCCESS,,,None,,,SSL-CBRAMOD,1,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:0,63.0,23.0,True,False,True,True,
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:256_PER_CLASS__SSL-CBRAMOD__0__2.json,SUCCESS,,,None,,,SSL-CBRAMOD,2,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:0,63.0,23.0,True,False,True,True,
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:256_PER_CLASS__SSL-CBRAMOD__0__3.json,SUCCESS,,,None,,,SSL-CBRAMOD,3,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:0,57.0,17.0,True,False,True,True,
A4MEM-BNCI2014_001__P01-L1-LOW-CAL-OFFICIAL-R2:256_PER_CLASS__SSL-CBRAMOD__0__LONG.json,INPUT_INCOMPATIBLE,,,None,,,SSL-CBRAMOD,LONG,,,,,,,,False,CBRAMOD_A4_LONG_INCOMPATIBLE_FAIL_CLOSED_NO_PAD_NO_CROP
