file,status,branch,member,recipe_id,execution_device,epochs_completed,best_epoch,test_loaded_after_checkpoint_sealed,test_set_used_for_selection,class_weight_frozen_from_a0
A4MEM-PhysioNetMI__P01-L1-LOW-CAL-OFFICIAL-R2:4_PER_CLASS__SSL-CBRAMOD__0__3.json,SUCCESS,SSL-CBRAMOD,3,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:0,86.0,46.0,True,False,True
A4MEM-PhysioNetMI__P01-L1-LOW-CAL-OFFICIAL-R2:4_PER_CLASS__SSL-CBRAMOD__0__LONG.json,INPUT_INCOMPATIBLE,SSL-CBRAMOD,LONG,,,,,,,
A4MEM-PhysioNetMI__P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS__DNN-EEGNET__1__1.json,SUCCESS,DNN-EEGNET,1,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,176.0,56.0,True,False,True
A4MEM-PhysioNetMI__P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS__DNN-EEGNET__1__2.json,SUCCESS,DNN-EEGNET,2,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,121.0,1.0,True,False,True
A4MEM-PhysioNetMI__P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS__DNN-EEGNET__1__3.json,SUCCESS,DNN-EEGNET,3,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,201.0,81.0,True,False,True
A4MEM-PhysioNetMI__P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS__DNN-EEGNET__1__LONG.json,SUCCESS,DNN-EEGNET,LONG,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,145.0,25.0,True,False,True
A4MEM-PhysioNetMI__P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS__DNN-EEGNET__2__1.json,SUCCESS,DNN-EEGNET,1,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,141.0,21.0,True,False,True
A4MEM-PhysioNetMI__P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS__DNN-EEGNET__2__2.json,SUCCESS,DNN-EEGNET,2,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,135.0,15.0,True,False,True
A4MEM-PhysioNetMI__P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS__DNN-EEGNET__2__3.json,SUCCESS,DNN-EEGNET,3,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,151.0,31.0,True,False,True
A4MEM-PhysioNetMI__P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS__DNN-EEGNET__2__LONG.json,SUCCESS,DNN-EEGNET,LONG,R7H7-EEGNET-LAWHERN-SMR-SOURCE-CENTERED-P01-160HZ-10000E-TRUE-P120-R1,cuda:0,131.0,11.0,True,False,True
A4MEM-PhysioNetMI__P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS__SSL-CBRAMOD__1__1.json,SUCCESS,SSL-CBRAMOD,1,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:0,57.0,17.0,True,False,True
A4MEM-PhysioNetMI__P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS__SSL-CBRAMOD__1__2.json,SUCCESS,SSL-CBRAMOD,2,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:0,41.0,1.0,True,False,True
A4MEM-PhysioNetMI__P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS__SSL-CBRAMOD__1__3.json,SUCCESS,SSL-CBRAMOD,3,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:0,41.0,1.0,True,False,True
A4MEM-PhysioNetMI__P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS__SSL-CBRAMOD__1__LONG.json,INPUT_INCOMPATIBLE,SSL-CBRAMOD,LONG,,,,,,,
A4MEM-PhysioNetMI__P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS__SSL-CBRAMOD__2__1.json,SUCCESS,SSL-CBRAMOD,1,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:0,54.0,14.0,True,False,True
A4MEM-PhysioNetMI__P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS__SSL-CBRAMOD__2__2.json,SUCCESS,SSL-CBRAMOD,2,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:0,68.0,28.0,True,False,True
A4MEM-PhysioNetMI__P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS__SSL-CBRAMOD__2__3.json,SUCCESS,SSL-CBRAMOD,3,R6-CBRAMOD-SOURCE-CENTERED-R1,cuda:0,73.0,33.0,True,False,True
A4MEM-PhysioNetMI__P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS__SSL-CBRAMOD__2__LONG.json,INPUT_INCOMPATIBLE,SSL-CBRAMOD,LONG,,,,,,,
