dataset_id,role_id,condition_id,condition_short,budget_id,budget_short,n_repeats,repeat_indices,delta_BACC_mean,delta_BACC_median,delta_BACC_sd,delta_BACC_min,delta_BACC_max,delta_BACC_range,sign_consistency,abs_mean_over_repeat_sd,repeat0,repeat1,repeat2
Lee2019_MI,NEURAL,A4-C2-MULTI-HARD-VOTE,C2,P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS,8,3,"[0, 1, 2]",-0.0011111111111111738,-0.0033333333333334103,0.006938886664887101,-0.00666666666666671,0.006666666666666599,0.013333333333333308,MIXED,0.16012815380509635,-0.00666666666666671,-0.0033333333333334103,0.006666666666666599
Lee2019_MI,NEURAL,A4-C3-MULTI-PROB-AVG,C3,FULL_TRAIN,FULL,3,"[0, 1, 2]",0.030555555555555596,0.026666666666666727,0.016187558093703824,0.01666666666666672,0.04833333333333334,0.03166666666666662,ALL_POSITIVE,1.8875951134001012,0.026666666666666727,0.01666666666666672,0.04833333333333334
Lee2019_MI,NEURAL,A4-C3-MULTI-PROB-AVG,C3,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,1,3,"[0, 1, 2]",0.02333333333333328,0.021666666666666612,0.015898986690282405,0.008333333333333304,0.039999999999999925,0.03166666666666662,ALL_POSITIVE,1.4675987714106844,0.008333333333333304,0.039999999999999925,0.021666666666666612
Lee2019_MI,NEURAL,A4-C3-MULTI-PROB-AVG,C3,P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS,8,3,"[0, 1, 2]",-3.700743415417188e-17,-0.010000000000000009,0.028037673068767865,-0.021666666666666723,0.03166666666666662,0.053333333333333344,MIXED,1.3199181709339404e-15,-0.010000000000000009,-0.021666666666666723,0.03166666666666662
Lee2019_MI,SSL,A4-C2-MULTI-HARD-VOTE,C2,FULL_TRAIN,FULL,3,"[0, 1, 2]",-0.010555555555555504,-0.010000000000000009,0.009179284245476824,-0.019999999999999907,-0.0016666666666665941,0.018333333333333313,ALL_NEGATIVE,1.1499323120707206,-0.010000000000000009,-0.0016666666666665941,-0.019999999999999907
Lee2019_MI,SSL,A4-C2-MULTI-HARD-VOTE,C2,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,1,3,"[0, 1, 2]",0.023333333333333317,0.024999999999999967,0.015898986690282377,0.00666666666666671,0.038333333333333275,0.031666666666666565,ALL_POSITIVE,1.4675987714106893,0.00666666666666671,0.038333333333333275,0.024999999999999967
Lee2019_MI,SSL,A4-C2-MULTI-HARD-VOTE,C2,P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS,8,3,"[0, 1, 2]",0.002777777777777768,0.0016666666666667052,0.01503083250940966,-0.011666666666666714,0.018333333333333313,0.030000000000000027,MIXED,0.1848053177386424,0.018333333333333313,-0.011666666666666714,0.0016666666666667052
Lee2019_MI,SSL,A4-C3-MULTI-PROB-AVG,C3,FULL_TRAIN,FULL,3,"[0, 1, 2]",0.0016666666666667052,-0.008333333333333304,0.02027587510099405,-0.011666666666666603,0.025000000000000022,0.036666666666666625,MIXED,0.08219949365268062,-0.008333333333333304,0.025000000000000022,-0.011666666666666603
Lee2019_MI,SSL,A4-C3-MULTI-PROB-AVG,C3,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,1,3,"[0, 1, 2]",0.022777777777777824,0.023333333333333373,0.010844011831079576,0.011666666666666659,0.03333333333333344,0.02166666666666678,ALL_POSITIVE,2.1004936302720894,0.03333333333333344,0.023333333333333373,0.011666666666666659
Lee2019_MI,SSL,A4-C3-MULTI-PROB-AVG,C3,P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS,8,3,"[0, 1, 2]",0.014444444444444446,0.010000000000000009,0.015485955405295905,0.0016666666666667052,0.03166666666666662,0.029999999999999916,ALL_POSITIVE,0.9327448043344305,0.03166666666666662,0.0016666666666667052,0.010000000000000009
PhysioNetMI,NEURAL,A4-C1-LONG-3P5S,C1,FULL_TRAIN,FULL,3,"[0, 1, 2]",0.05416816385195833,0.06207330219187934,0.016326790159939136,0.03539346029464596,0.06503772906934968,0.02964426877470372,ALL_POSITIVE,3.3177472927207794,0.03539346029464596,0.06207330219187934,0.06503772906934968
PhysioNetMI,NEURAL,A4-C1-LONG-3P5S,C1,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,1,3,"[0, 1, 2]",0.004521499580788087,0.0045813869924541395,0.010869688951008689,-0.006378009342436264,0.015361121092346386,0.02173913043478265,MIXED,0.41597322620427873,0.015361121092346386,0.0045813869924541395,-0.006378009342436264
PhysioNetMI,NEURAL,A4-C1-LONG-3P5S,C1,P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS,8,3,"[0, 1, 2]",0.000808480057491919,-0.0039525691699604515,0.009035510134070867,-0.004850880344951514,0.011228889687387722,0.016079770032339236,MIXED,0.08947807544848224,-0.0039525691699604515,-0.004850880344951514,0.011228889687387722
PhysioNetMI,NEURAL,A4-C2-MULTI-HARD-VOTE,C2,FULL_TRAIN,FULL,3,"[0, 1, 2]",0.030512636243861507,0.018954365792310357,0.02442354837379356,0.014013654329859904,0.058569888609414256,0.04455623427955435,ALL_POSITIVE,1.2493121710603499,0.018954365792310357,0.014013654329859904,0.058569888609414256
PhysioNetMI,NEURAL,A4-C2-MULTI-HARD-VOTE,C2,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,1,3,"[0, 1, 2]",0.013923823212360742,0.010330578512396604,0.006379906900670066,0.010150916277398503,0.02128997484728712,0.011139058569888616,ALL_POSITIVE,2.1824492785150764,0.02128997484728712,0.010150916277398503,0.010330578512396604
PhysioNetMI,NEURAL,A4-C2-MULTI-HARD-VOTE,C2,P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS,8,3,"[0, 1, 2]",0.002784764642472126,0.00044915558749547557,0.011056163451142959,-0.006916996047430846,0.014822134387351749,0.021739130434782594,MIXED,0.25187440967004193,0.00044915558749547557,-0.006916996047430846,0.014822134387351749
PhysioNetMI,NEURAL,A4-C3-MULTI-PROB-AVG,C3,FULL_TRAIN,FULL,3,"[0, 1, 2]",0.048478859743681935,0.03269852676967311,0.031707500249702494,0.027757815307222433,0.08498023715415026,0.05722242184692783,ALL_POSITIVE,1.5289398206071703,0.027757815307222433,0.03269852676967311,0.08498023715415026
PhysioNetMI,NEURAL,A4-C3-MULTI-PROB-AVG,C3,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,1,3,"[0, 1, 2]",0.009342436219906547,0.006737333812432578,0.0049062924198423966,0.006288178224937102,0.015001796622349961,0.008713618397412859,ALL_POSITIVE,1.9041743582431336,0.015001796622349961,0.006288178224937102,0.006737333812432578
PhysioNetMI,NEURAL,A4-C3-MULTI-PROB-AVG,C3,P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS,8,3,"[0, 1, 2]",-0.00401245658162656,-0.0064678404599353145,0.006552952720467231,-0.008983111749910178,0.003413582464965814,0.012396694214875992,MIXED,0.6123127623207494,0.003413582464965814,-0.008983111749910178,-0.0064678404599353145
PhysioNetMI,SSL,A4-C2-MULTI-HARD-VOTE,C2,FULL_TRAIN,FULL,3,"[0, 1, 2]",-0.004611330698287193,-0.001257635644987487,0.029786206943311182,-0.0359324469996406,0.023356090549766506,0.059288537549407105,MIXED,0.1548142973378058,0.023356090549766506,-0.001257635644987487,-0.0359324469996406
PhysioNetMI,SSL,A4-C2-MULTI-HARD-VOTE,C2,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,1,3,"[0, 1, 2]",-0.013893879506527743,-0.013654329859863479,0.00620181786972159,-0.0202120014372979,-0.007815307222421852,0.012396694214876047,ALL_NEGATIVE,2.240291443313775,-0.013654329859863479,-0.007815307222421852,-0.0202120014372979
PhysioNetMI,SSL,A4-C2-MULTI-HARD-VOTE,C2,P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS,8,3,"[0, 1, 2]",-0.015450952209845492,-0.013295005389867054,0.012003803872432661,-0.02838663312971612,-0.004671218109953301,0.02371541501976282,ALL_NEGATIVE,1.2871713311918882,-0.02838663312971612,-0.013295005389867054,-0.004671218109953301
PhysioNetMI,SSL,A4-C3-MULTI-PROB-AVG,C3,FULL_TRAIN,FULL,3,"[0, 1, 2]",0.0026051024074739506,0.006378009342436264,0.010407624084087371,-0.009162773984908279,0.010600071864893867,0.019762845849802146,MIXED,0.2503071197063117,0.006378009342436264,0.010600071864893867,-0.009162773984908279
PhysioNetMI,SSL,A4-C3-MULTI-PROB-AVG,C3,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,1,3,"[0, 1, 2]",-0.014822134387351768,-0.014372978799856273,0.011370291859107791,-0.026410348544735895,-0.003683075817463133,0.022727272727272763,ALL_NEGATIVE,1.303584338116967,-0.003683075817463133,-0.026410348544735895,-0.014372978799856273
PhysioNetMI,SSL,A4-C3-MULTI-PROB-AVG,C3,P01-L1-LOW-CAL-OFFICIAL-R2:8_PER_CLASS,8,3,"[0, 1, 2]",-0.017247574559827544,-0.016618756737333817,0.016133878774240187,-0.03368666906216311,-0.0014372978799856995,0.03224937118217741,ALL_NEGATIVE,1.0690283967774392,-0.0014372978799856995,-0.03368666906216311,-0.016618756737333817
