run_cell_id,dataset_id,branch_id,condition_id,budget_id,model_repeat_index,subject_id,n,BACC,F1_MACRO,ACC,ROC_AUC
P02-A4-PhysioNetMI-RIEMANNIAN-A4-C2-MULTI-HARD-VOTE-FULL_TRAIN-MR00,PhysioNetMI,RIEMANNIAN_VALIDATION_SELECTED,A4-C2-MULTI-HARD-VOTE,FULL_TRAIN,0,107,45,0.6428571428571428,0.6031746031746031,0.6666666666666666,
P02-A4-PhysioNetMI-RIEMANNIAN-A4-C2-MULTI-HARD-VOTE-FULL_TRAIN-MR00,PhysioNetMI,RIEMANNIAN_VALIDATION_SELECTED,A4-C2-MULTI-HARD-VOTE,FULL_TRAIN,0,27,45,0.5326086956521738,0.5324096981692232,0.5333333333333333,
P02-A4-PhysioNetMI-RIEMANNIAN-A4-C2-MULTI-HARD-VOTE-FULL_TRAIN-MR00,PhysioNetMI,RIEMANNIAN_VALIDATION_SELECTED,A4-C2-MULTI-HARD-VOTE,FULL_TRAIN,0,39,45,0.4940711462450593,0.4623376623376623,0.4888888888888889,
P02-A4-PhysioNetMI-RIEMANNIAN-A4-C2-MULTI-HARD-VOTE-FULL_TRAIN-MR00,PhysioNetMI,RIEMANNIAN_VALIDATION_SELECTED,A4-C2-MULTI-HARD-VOTE,FULL_TRAIN,0,40,45,0.6071428571428572,0.5982142857142857,0.6,
P02-A4-PhysioNetMI-RIEMANNIAN-A4-C2-MULTI-HARD-VOTE-FULL_TRAIN-MR00,PhysioNetMI,RIEMANNIAN_VALIDATION_SELECTED,A4-C2-MULTI-HARD-VOTE,FULL_TRAIN,0,47,45,0.5178571428571429,0.5089285714285714,0.5111111111111111,
P02-A4-PhysioNetMI-RIEMANNIAN-A4-C2-MULTI-HARD-VOTE-FULL_TRAIN-MR00,PhysioNetMI,RIEMANNIAN_VALIDATION_SELECTED,A4-C2-MULTI-HARD-VOTE,FULL_TRAIN,0,48,45,0.7559288537549407,0.7555555555555555,0.7555555555555555,
P02-A4-PhysioNetMI-RIEMANNIAN-A4-C2-MULTI-HARD-VOTE-FULL_TRAIN-MR00,PhysioNetMI,RIEMANNIAN_VALIDATION_SELECTED,A4-C2-MULTI-HARD-VOTE,FULL_TRAIN,0,57,45,0.7351190476190477,0.733201581027668,0.7333333333333333,
P02-A4-PhysioNetMI-RIEMANNIAN-A4-C2-MULTI-HARD-VOTE-FULL_TRAIN-MR00,PhysioNetMI,RIEMANNIAN_VALIDATION_SELECTED,A4-C2-MULTI-HARD-VOTE,FULL_TRAIN,0,6,45,0.5386904761904762,0.42972350230414746,0.5111111111111111,
P02-A4-PhysioNetMI-RIEMANNIAN-A4-C2-MULTI-HARD-VOTE-FULL_TRAIN-MR00,PhysioNetMI,RIEMANNIAN_VALIDATION_SELECTED,A4-C2-MULTI-HARD-VOTE,FULL_TRAIN,0,71,45,0.5652173913043478,0.4591346153846154,0.5555555555555556,
P02-A4-PhysioNetMI-RIEMANNIAN-A4-C2-MULTI-HARD-VOTE-FULL_TRAIN-MR00,PhysioNetMI,RIEMANNIAN_VALIDATION_SELECTED,A4-C2-MULTI-HARD-VOTE,FULL_TRAIN,0,93,45,0.8656126482213439,0.8660714285714286,0.8666666666666667,
P02-A4-PhysioNetMI-RIEMANNIAN-A4-C2-MULTI-HARD-VOTE-FULL_TRAIN-MR00,PhysioNetMI,RIEMANNIAN_VALIDATION_SELECTED,A4-C2-MULTI-HARD-VOTE,FULL_TRAIN,0,98,45,0.5810276679841897,0.5701357466063348,0.5777777777777777,
P02-A4-PhysioNetMI-RIEMANNIAN-A4-C3-MULTI-PROB-AVG-FULL_TRAIN-MR00,PhysioNetMI,RIEMANNIAN_VALIDATION_SELECTED,A4-C3-MULTI-PROB-AVG,FULL_TRAIN,0,107,45,0.6190476190476191,0.5673076923076923,0.6444444444444445,0.7281746031746031
P02-A4-PhysioNetMI-RIEMANNIAN-A4-C3-MULTI-PROB-AVG-FULL_TRAIN-MR00,PhysioNetMI,RIEMANNIAN_VALIDATION_SELECTED,A4-C3-MULTI-PROB-AVG,FULL_TRAIN,0,27,45,0.5108695652173914,0.5108695652173914,0.5111111111111111,0.5217391304347826
P02-A4-PhysioNetMI-RIEMANNIAN-A4-C3-MULTI-PROB-AVG-FULL_TRAIN-MR00,PhysioNetMI,RIEMANNIAN_VALIDATION_SELECTED,A4-C3-MULTI-PROB-AVG,FULL_TRAIN,0,39,45,0.4940711462450593,0.4623376623376623,0.4888888888888889,0.6284584980237155
P02-A4-PhysioNetMI-RIEMANNIAN-A4-C3-MULTI-PROB-AVG-FULL_TRAIN-MR00,PhysioNetMI,RIEMANNIAN_VALIDATION_SELECTED,A4-C3-MULTI-PROB-AVG,FULL_TRAIN,0,40,45,0.7053571428571428,0.6759259259259259,0.6888888888888889,0.748015873015873
P02-A4-PhysioNetMI-RIEMANNIAN-A4-C3-MULTI-PROB-AVG-FULL_TRAIN-MR00,PhysioNetMI,RIEMANNIAN_VALIDATION_SELECTED,A4-C3-MULTI-PROB-AVG,FULL_TRAIN,0,47,45,0.47619047619047616,0.46,0.4666666666666667,0.5317460317460317
P02-A4-PhysioNetMI-RIEMANNIAN-A4-C3-MULTI-PROB-AVG-FULL_TRAIN-MR00,PhysioNetMI,RIEMANNIAN_VALIDATION_SELECTED,A4-C3-MULTI-PROB-AVG,FULL_TRAIN,0,48,45,0.8003952569169961,0.8,0.8,0.8418972332015812
P02-A4-PhysioNetMI-RIEMANNIAN-A4-C3-MULTI-PROB-AVG-FULL_TRAIN-MR00,PhysioNetMI,RIEMANNIAN_VALIDATION_SELECTED,A4-C3-MULTI-PROB-AVG,FULL_TRAIN,0,57,45,0.7142857142857142,0.7111111111111111,0.7111111111111111,0.7777777777777777
P02-A4-PhysioNetMI-RIEMANNIAN-A4-C3-MULTI-PROB-AVG-FULL_TRAIN-MR00,PhysioNetMI,RIEMANNIAN_VALIDATION_SELECTED,A4-C3-MULTI-PROB-AVG,FULL_TRAIN,0,6,45,0.5416666666666666,0.4050480769230769,0.5111111111111111,0.5694444444444444
P02-A4-PhysioNetMI-RIEMANNIAN-A4-C3-MULTI-PROB-AVG-FULL_TRAIN-MR00,PhysioNetMI,RIEMANNIAN_VALIDATION_SELECTED,A4-C3-MULTI-PROB-AVG,FULL_TRAIN,0,71,45,0.5652173913043478,0.4591346153846154,0.5555555555555556,0.9426877470355731
P02-A4-PhysioNetMI-RIEMANNIAN-A4-C3-MULTI-PROB-AVG-FULL_TRAIN-MR00,PhysioNetMI,RIEMANNIAN_VALIDATION_SELECTED,A4-C3-MULTI-PROB-AVG,FULL_TRAIN,0,93,45,0.8883399209486166,0.8886689757545769,0.8888888888888888,0.9565217391304348
P02-A4-PhysioNetMI-RIEMANNIAN-A4-C3-MULTI-PROB-AVG-FULL_TRAIN-MR00,PhysioNetMI,RIEMANNIAN_VALIDATION_SELECTED,A4-C3-MULTI-PROB-AVG,FULL_TRAIN,0,98,45,0.6017786561264822,0.5982142857142857,0.6,0.6225296442687748
P02-A4-PhysioNetMI-NEURAL-A4-C0-CORE-FULL_TRAIN-MR00,PhysioNetMI,NEURAL_VALIDATION_SELECTED,A4-C0-CORE,FULL_TRAIN,0,6,45,0.5625,0.5454545454545454,0.5777777777777777,0.5376984126984127
P02-A4-PhysioNetMI-NEURAL-A4-C0-CORE-FULL_TRAIN-MR00,PhysioNetMI,NEURAL_VALIDATION_SELECTED,A4-C0-CORE,FULL_TRAIN,0,27,45,0.5810276679841897,0.5701357466063348,0.5777777777777777,0.6225296442687747
P02-A4-PhysioNetMI-NEURAL-A4-C0-CORE-FULL_TRAIN-MR00,PhysioNetMI,NEURAL_VALIDATION_SELECTED,A4-C0-CORE,FULL_TRAIN,0,39,45,0.6047430830039526,0.5833333333333333,0.6,0.6343873517786561
P02-A4-PhysioNetMI-NEURAL-A4-C0-CORE-FULL_TRAIN-MR00,PhysioNetMI,NEURAL_VALIDATION_SELECTED,A4-C0-CORE,FULL_TRAIN,0,40,45,0.49404761904761907,0.48787728847105394,0.4888888888888889,0.5972222222222222
