run_cell_id,dataset_id,branch_id,condition_id,budget_id,model_repeat_index,subject_id,session_id,n,BACC,F1_MACRO,ACC,ROC_AUC
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR03,PhysioNetMI,SAN-STRAT,A0-RAW-ACCEPT-ALL,FULL_TRAIN,3,40,0,45,0.5744047619047619,0.5744151319064211,0.5777777777777777,0.5
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR03,PhysioNetMI,SAN-STRAT,A0-RAW-ACCEPT-ALL,FULL_TRAIN,3,47,0,45,0.5327380952380952,0.5324096981692232,0.5333333333333333,0.5
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR03,PhysioNetMI,SAN-STRAT,A0-RAW-ACCEPT-ALL,FULL_TRAIN,3,48,0,45,0.5345849802371542,0.5324096981692232,0.5333333333333333,0.5
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR03,PhysioNetMI,SAN-STRAT,A0-RAW-ACCEPT-ALL,FULL_TRAIN,3,57,0,45,0.3333333333333333,0.3330039525691699,0.3333333333333333,0.5
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR03,PhysioNetMI,SAN-STRAT,A0-RAW-ACCEPT-ALL,FULL_TRAIN,3,71,0,45,0.4654150197628458,0.4642857142857143,0.4666666666666667,0.5
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR03,PhysioNetMI,SAN-STRAT,A0-RAW-ACCEPT-ALL,FULL_TRAIN,3,93,0,45,0.5780632411067194,0.5777777777777777,0.5777777777777777,0.5
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR03,PhysioNetMI,SAN-STRAT,A0-RAW-ACCEPT-ALL,FULL_TRAIN,3,98,0,45,0.5968379446640316,0.590080971659919,0.6,0.5
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR03,PhysioNetMI,SAN-STRAT,A0-RAW-ACCEPT-ALL,FULL_TRAIN,3,107,0,45,0.44047619047619047,0.44001991040318567,0.4444444444444444,0.5
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR04,PhysioNetMI,SAN-STRAT,A0-RAW-ACCEPT-ALL,FULL_TRAIN,4,6,0,45,0.5952380952380952,0.595,0.6,0.5
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR04,PhysioNetMI,SAN-STRAT,A0-RAW-ACCEPT-ALL,FULL_TRAIN,4,27,0,45,0.46739130434782605,0.46640316205533594,0.4666666666666667,0.5
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR04,PhysioNetMI,SAN-STRAT,A0-RAW-ACCEPT-ALL,FULL_TRAIN,4,39,0,45,0.5316205533596838,0.5296167247386759,0.5333333333333333,0.5
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR04,PhysioNetMI,SAN-STRAT,A0-RAW-ACCEPT-ALL,FULL_TRAIN,4,40,0,45,0.6577380952380952,0.6557878633350331,0.6666666666666666,0.5
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR04,PhysioNetMI,SAN-STRAT,A0-RAW-ACCEPT-ALL,FULL_TRAIN,4,47,0,45,0.4880952380952381,0.48787728847105394,0.4888888888888889,0.5
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR04,PhysioNetMI,SAN-STRAT,A0-RAW-ACCEPT-ALL,FULL_TRAIN,4,48,0,45,0.491106719367589,0.48481831757093086,0.4888888888888889,0.5
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR04,PhysioNetMI,SAN-STRAT,A0-RAW-ACCEPT-ALL,FULL_TRAIN,4,57,0,45,0.46726190476190477,0.46640316205533594,0.4666666666666667,0.5
P02-A0-PhysioNetMI-SAN-STRAT-FULL_TRAIN-MR04,PhysioNetMI,SAN-STRAT,A0-RAW-ACCEPT-ALL,FULL_TRAIN,4,71,0,45,0.6215415019762847,0.6214745175655616,0.6222222222222222,0.5
