comparison_id,dataset_id,role_id,budget_id,repeat,alternative_condition,closure_status,n,median_delta_BACC,p_value,holm_adjusted_p,rank_biserial,ci_low,ci_high
P02-A4-PhysioNetMI-SSL-A4-C1-LONG-3P5S-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR04:VS:A4-C0-CORE,PhysioNetMI,SSL,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,4,A4-C1-LONG-3P5S,GOVERNED_NON_SUCCESS,,,,,,,
P02-A4-PhysioNetMI-SSL-A4-C2-MULTI-HARD-VOTE-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR04:VS:A4-C0-CORE,PhysioNetMI,SSL,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,4,A4-C2-MULTI-HARD-VOTE,GOVERNED_NON_SUCCESS,,,,,,,
P02-A4-PhysioNetMI-SSL-A4-C3-MULTI-PROB-AVG-P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS-MR04:VS:A4-C0-CORE,PhysioNetMI,SSL,P01-L1-LOW-CAL-OFFICIAL-R2:1_PER_CLASS,4,A4-C3-MULTI-PROB-AVG,GOVERNED_NON_SUCCESS,,,,,,,
P02-A4-PhysioNetMI-CLASSICAL-A4-C1-LONG-3P5S-P01-L1-LOW-CAL-OFFICIAL-R2:2_PER_CLASS-MR00:VS:A4-C0-CORE,PhysioNetMI,CLASSICAL,P01-L1-LOW-CAL-OFFICIAL-R2:2_PER_CLASS,0,A4-C1-LONG-3P5S,COMPLETE,11.0,-0.005952380952380931,0.078125,0.234375,-0.7222222222222222,-0.06916996047430835,0.0
P02-A4-PhysioNetMI-CLASSICAL-A4-C2-MULTI-HARD-VOTE-P01-L1-LOW-CAL-OFFICIAL-R2:2_PER_CLASS-MR00:VS:A4-C0-CORE,PhysioNetMI,CLASSICAL,P01-L1-LOW-CAL-OFFICIAL-R2:2_PER_CLASS,0,A4-C2-MULTI-HARD-VOTE,COMPLETE,11.0,0.0,1.0,1.0,0.0,-0.02380952380952378,0.020833333333333315
P02-A4-PhysioNetMI-CLASSICAL-A4-C3-MULTI-PROB-AVG-P01-L1-LOW-CAL-OFFICIAL-R2:2_PER_CLASS-MR00:VS:A4-C0-CORE,PhysioNetMI,CLASSICAL,P01-L1-LOW-CAL-OFFICIAL-R2:2_PER_CLASS,0,A4-C3-MULTI-PROB-AVG,COMPLETE,11.0,0.0,0.9453125,1.0,0.05555555555555555,-0.11361006589542509,0.0
P02-A4-PhysioNetMI-RIEMANNIAN-A4-C1-LONG-3P5S-P01-L1-LOW-CAL-OFFICIAL-R2:2_PER_CLASS-MR00:VS:A4-C0-CORE,PhysioNetMI,RIEMANNIAN,P01-L1-LOW-CAL-OFFICIAL-R2:2_PER_CLASS,0,A4-C1-LONG-3P5S,COMPLETE,11.0,0.0,1.0,1.0,0.0,0.0,0.0
P02-A4-PhysioNetMI-RIEMANNIAN-A4-C2-MULTI-HARD-VOTE-P01-L1-LOW-CAL-OFFICIAL-R2:2_PER_CLASS-MR00:VS:A4-C0-CORE,PhysioNetMI,RIEMANNIAN,P01-L1-LOW-CAL-OFFICIAL-R2:2_PER_CLASS,0,A4-C2-MULTI-HARD-VOTE,COMPLETE,11.0,0.0,1.0,1.0,0.0,0.0,0.0
P02-A4-PhysioNetMI-RIEMANNIAN-A4-C3-MULTI-PROB-AVG-P01-L1-LOW-CAL-OFFICIAL-R2:2_PER_CLASS-MR00:VS:A4-C0-CORE,PhysioNetMI,RIEMANNIAN,P01-L1-LOW-CAL-OFFICIAL-R2:2_PER_CLASS,0,A4-C3-MULTI-PROB-AVG,COMPLETE,11.0,0.0,1.0,1.0,0.0,0.0,0.0
P02-A4-PhysioNetMI-NEURAL-A4-C1-LONG-3P5S-P01-L1-LOW-CAL-OFFICIAL-R2:2_PER_CLASS-MR00:VS:A4-C0-CORE,PhysioNetMI,NEURAL,P01-L1-LOW-CAL-OFFICIAL-R2:2_PER_CLASS,0,A4-C1-LONG-3P5S,GOVERNED_NON_SUCCESS,,,,,,,
P02-A4-PhysioNetMI-NEURAL-A4-C2-MULTI-HARD-VOTE-P01-L1-LOW-CAL-OFFICIAL-R2:2_PER_CLASS-MR00:VS:A4-C0-CORE,PhysioNetMI,NEURAL,P01-L1-LOW-CAL-OFFICIAL-R2:2_PER_CLASS,0,A4-C2-MULTI-HARD-VOTE,GOVERNED_NON_SUCCESS,,,,,,,
