dataset_id,branch_id,subject_id,BACC,F1_MACRO,ACC,ROC_AUC
PhysioNetMI,CLS-FBCSP-LR,107,0.5535714285714286,0.5535714285714286,0.5555555555555556,0.5257936507936508
PhysioNetMI,DIAG-LOGVAR,6,0.5,0.3478260869565217,0.5333333333333333,0.5297619047619048
PhysioNetMI,DIAG-LOGVAR,27,0.6383399209486166,0.6120689655172413,0.6444444444444445,0.6403162055335969
PhysioNetMI,DIAG-LOGVAR,39,0.5355731225296443,0.5296167247386759,0.5333333333333333,0.5513833992094862
PhysioNetMI,DIAG-LOGVAR,40,0.5,0.3181818181818182,0.4666666666666667,0.6527777777777779
PhysioNetMI,DIAG-LOGVAR,47,0.5,0.3478260869565217,0.5333333333333333,0.5813492063492064
PhysioNetMI,DIAG-LOGVAR,48,0.7302371541501976,0.7267206477732794,0.7333333333333333,0.8260869565217391
PhysioNetMI,DIAG-LOGVAR,57,0.6398809523809523,0.64,0.6444444444444445,0.6329365079365079
PhysioNetMI,DIAG-LOGVAR,71,0.4545454545454545,0.3076923076923077,0.4444444444444444,0.6264822134387352
PhysioNetMI,DIAG-LOGVAR,93,0.5,0.3382352941176471,0.5111111111111111,0.7905138339920947
PhysioNetMI,DIAG-LOGVAR,98,0.5237154150197628,0.4184615384615385,0.5333333333333333,0.4861660079051383
PhysioNetMI,DIAG-LOGVAR,107,0.5178571428571429,0.5089285714285714,0.5111111111111111,0.5753968253968255
PhysioNetMI,DNN-EEGNET,6,0.5136904761904761,0.4969821381675429,0.5244444444444445,0.5277777777777778
PhysioNetMI,DNN-EEGNET,27,0.5731225296442688,0.5539180052221118,0.5688888888888888,0.6505928853754941
PhysioNetMI,DNN-EEGNET,39,0.6019762845849803,0.5952157021722239,0.6,0.5948616600790514
PhysioNetMI,DNN-EEGNET,40,0.5321428571428571,0.5228970660123348,0.5288888888888889,0.5638888888888889
PhysioNetMI,DNN-EEGNET,47,0.5083333333333333,0.45956482611760147,0.5244444444444445,0.540079365079365
PhysioNetMI,DNN-EEGNET,48,0.7644268774703558,0.7514383088961043,0.76,0.8237154150197629
PhysioNetMI,DNN-EEGNET,57,0.6303571428571428,0.6272369613378059,0.6311111111111111,0.7226190476190475
PhysioNetMI,DNN-EEGNET,71,0.8347826086956521,0.8267240391591113,0.8311111111111111,0.9790513833992094
PhysioNetMI,DNN-EEGNET,93,0.8312252964426877,0.830634655184771,0.8311111111111111,0.9332015810276679
PhysioNetMI,DNN-EEGNET,98,0.5339920948616601,0.5188226649511479,0.5377777777777777,0.5924901185770752
PhysioNetMI,DNN-EEGNET,107,0.5785714285714285,0.5565498920506059,0.5911111111111111,0.6753968253968254
PhysioNetMI,DNN-FBCNET,6,0.5595238095238095,0.542944301626493,0.5555555555555556,0.5964285714285713
PhysioNetMI,DNN-FBCNET,27,0.4762845849802371,0.4377469723255939,0.47111111111111115,0.5430830039525691
PhysioNetMI,DNN-FBCNET,39,0.516600790513834,0.3894649257552483,0.5066666666666666,0.6320158102766799
PhysioNetMI,DNN-FBCNET,40,0.5380952380952382,0.5218946455189338,0.5511111111111111,0.6055555555555555
PhysioNetMI,DNN-FBCNET,47,0.5732142857142857,0.5398162683363426,0.5866666666666667,0.626984126984127
PhysioNetMI,DNN-FBCNET,48,0.7845849802371541,0.7802259705881622,0.7822222222222222,0.8845849802371542
PhysioNetMI,DNN-FBCNET,57,0.5821428571428571,0.5682380514222619,0.5777777777777777,0.663888888888889
PhysioNetMI,DNN-FBCNET,71,0.8124505928853754,0.8045135726221069,0.8088888888888889,0.925691699604743
PhysioNetMI,DNN-FBCNET,93,0.8363636363636363,0.8339163343050812,0.8355555555555556,0.9466403162055336
PhysioNetMI,DNN-FBCNET,98,0.5622529644268774,0.5544985405528648,0.5644444444444444,0.642292490118577
PhysioNetMI,DNN-FBCNET,107,0.5583333333333333,0.5427662561831929,0.5511111111111111,0.6396825396825396
PhysioNetMI,DNN-SEQ,6,0.5345238095238095,0.4908843242281808,0.5555555555555556,0.5928571428571429
PhysioNetMI,DNN-SEQ,27,0.6237154150197629,0.6210190026181894,0.6222222222222222,0.6814229249011858
PhysioNetMI,DNN-SEQ,39,0.6294466403162055,0.6272985197120426,0.6311111111111111,0.633596837944664
PhysioNetMI,DNN-SEQ,40,0.5565476190476191,0.5544312169312169,0.5599999999999999,0.5464285714285715
